Precision;Recall;Distance;k;Dimension
0.3333333333333333;0.2222222222222222;cosine;1000;100;
0.7016129032258065;0.10015408320493066;cosine;1000;10;
0.5;1.0;cosine;1000;500;
0.27889777388769593;0.46312769816758603;cosine;100;100;
0.16893006338231056;0.4996021452303264;cosine;100;10;
0.26796032688786436;0.5150464165958758;cosine;100;500;
0.12441694475342972;0.6793929778422332;cosine;10;100;
0.12167471819645732;0.7862853311776639;cosine;10;10;
0.12925006288321347;0.6871679688325933;cosine;10;500;
0.050933651172030185;1.0;cosine;1;100;
0.050933651172030185;1.0;cosine;1;10;
0.050933651172030185;1.0;cosine;1;500;
0.386360338312009;0.5242091334870769;cosine;200;100;
0.1293771043771044;0.7722991297692245;cosine;20;100;
0.12868469834051757;0.7609814109565612;cosine;20;10;
0.12935903182429404;0.777388220536367;cosine;20;500;
NaN;NaN;cosine;2500;100;
1.0;0.09090909090909091;cosine;2500;10;
0.3333333333333333;1.0;cosine;2500;500;
0.4244512998489668;0.48790575059054525;cosine;300;100;
0.4079022306597057;0.35596277545430083;cosine;300;10;
0.34760644179284256;0.5042024285631936;cosine;300;500;
NaN;NaN;cosine;5000;100;
NaN;NaN;cosine;5000;10;
1.0;1.0;cosine;5000;500;
0.4710144927536232;0.7209302325581396;cosine;500;100;
0.7074468085106382;0.5607344632768362;cosine;500;10;
0.14981785063752276;0.7272727272727272;cosine;500;500;
0.18460413668407055;0.6409566804954203;cosine;50;100;
0.15577019207442613;0.628880739656262;cosine;50;10;
0.18826129578756798;0.6852602628390533;cosine;50;500;
0.11508888040388614;0.826825154412728;cosine;5;100;
0.11054996221066798;0.8696807835044542;cosine;5;10;
0.10995967149718605;0.7787708718791734;cosine;5;500;
0.5111111111111112;0.4590869939707149;cosine;700;100;
0.5717189314750291;0.3308134309193631;cosine;700;10;
0.29166666666666663;1.0;cosine;700;500;
NaN;NaN;cosine;7500;100;
NaN;NaN;cosine;7500;10;
NaN;NaN;cosine;7500;500;
0.7602339181286549;0.5894538606403014;squared_euclidean;1000;100;
0.467741935483871;0.15485362095531588;squared_euclidean;1000;10;
0.3992647058823529;0.4288231148696265;squared_euclidean;1000;500;
0.2450602099425629;0.49136341558943575;squared_euclidean;100;100;
0.27218449495943103;0.4944563328249983;squared_euclidean;100;10;
0.255952209201561;0.49719630150106925;squared_euclidean;100;500;
0.11892738047926876;0.7123566459719654;squared_euclidean;10;100;
0.1250970247580417;0.7345730806252049;squared_euclidean;10;10;
0.10487424570188549;0.7035527322135521;squared_euclidean;10;500;
0.050933651172030185;1.0;squared_euclidean;1;100;
0.050933651172030185;1.0;squared_euclidean;1;10;
0.050933651172030185;1.0;squared_euclidean;1;500;
0.28500241170770846;0.4673907480489631;squared_euclidean;200;100;
0.13062886933854675;0.705933094997764;squared_euclidean;20;100;
0.17217079922102504;0.7124186719200087;squared_euclidean;20;10;
0.12623207221318974;0.7109245905027041;squared_euclidean;20;500;
NaN;NaN;squared_euclidean;2500;100;
0.9230769230769231;0.03389830508474576;squared_euclidean;2500;10;
NaN;NaN;squared_euclidean;2500;500;
0.39792777471348895;0.24006547762634314;squared_euclidean;300;100;
0.2572382478632479;0.449690228556754;squared_euclidean;300;10;
0.21359821121431027;0.49770620767840185;squared_euclidean;300;500;
NaN;NaN;squared_euclidean;5000;100;
NaN;NaN;squared_euclidean;5000;10;
NaN;NaN;squared_euclidean;5000;500;
0.44868421052631574;0.5405214940098662;squared_euclidean;500;100;
0.5654761904761905;0.36492337645274187;squared_euclidean;500;10;
0.31700542005420057;0.49479305603665086;squared_euclidean;500;500;
0.18804365896598904;0.5960217179412223;squared_euclidean;50;100;
0.17744119133953598;0.5764975552157864;squared_euclidean;50;10;
0.19000517053105984;0.6607840248489081;squared_euclidean;50;500;
0.10275905843999694;0.6876275551641012;squared_euclidean;5;100;
0.11606918446585428;0.7859776876974525;squared_euclidean;5;10;
0.09454161056014682;0.744982138845783;squared_euclidean;5;500;
0.5333333333333333;0.5858585858585859;squared_euclidean;700;100;
0.5279304029304029;0.37865947611710327;squared_euclidean;700;10;
0.2941555164137903;0.5608357498556467;squared_euclidean;700;500;
NaN;NaN;squared_euclidean;7500;100;
NaN;NaN;squared_euclidean;7500;10;
NaN;NaN;squared_euclidean;7500;500;
