Precision;Recall;Distance;k;Dimension
1.0;0.5;cosine;1000;100;
0.7062579821200511;0.20825152937828995;cosine;1000;10;
0.875;0.4;cosine;1000;250;
0.8095238095238096;0.3669250645994832;cosine;1000;500;
0.4127044761777894;0.5706344659633877;cosine;100;100;
0.29988669590643285;0.5187468071205913;cosine;100;10;
0.44327812246929893;0.5993879528897874;cosine;100;250;
0.40066841399401026;0.6065526010898034;cosine;100;500;
0.12058024114475725;0.703446457926037;cosine;10;100;
0.09871041635171629;0.749895239957603;cosine;10;10;
0.11294190494611177;0.7698352209717768;cosine;10;250;
0.11921299567656972;0.7413539799905356;cosine;10;500;
0.031953828828828836;1.0;cosine;1;100;
0.031953828828828836;1.0;cosine;1;10;
0.031953828828828836;1.0;cosine;1;250;
0.031953828828828836;1.0;cosine;1;500;
0.5826046051773216;0.5995940877797892;cosine;200;100;
0.15774134476157228;0.7592268046622682;cosine;20;100;
0.16293777086714484;0.7472648754907207;cosine;20;10;
0.1673971000650516;0.79483149115409;cosine;20;250;
0.16206078457432946;0.7952718594621294;cosine;20;500;
NaN;NaN;cosine;2500;100;
1.0;0.19545454545454544;cosine;2500;10;
NaN;NaN;cosine;2500;250;
NaN;NaN;cosine;2500;500;
0.6135563985531892;0.5156097550362279;cosine;300;100;
0.4296356421356422;0.34260741214966567;cosine;300;10;
0.6819871420061655;0.5867592909234061;cosine;300;250;
0.6967004886909725;0.6199501270600261;cosine;300;500;
NaN;NaN;cosine;5000;100;
NaN;NaN;cosine;5000;10;
NaN;NaN;cosine;5000;250;
NaN;NaN;cosine;5000;500;
0.6210752688172043;0.5603100775193799;cosine;500;100;
0.6925465838509316;0.23214156735283492;cosine;500;10;
0.6191287878787879;0.674810606060606;cosine;500;250;
0.75;0.6761904761904762;cosine;500;500;
0.23717715484439894;0.6755993329226714;cosine;50;100;
0.2576030361357911;0.5823287713844177;cosine;50;10;
0.29307523389222734;0.6679949959457865;cosine;50;250;
0.30509028252449305;0.7095866403942521;cosine;50;500;
0.07908698915146821;0.8378710660701868;cosine;5;100;
0.07779861690354106;0.8161686705763985;cosine;5;10;
0.07379461986584245;0.8459163495910139;cosine;5;250;
0.07731681177658419;0.8332773807699798;cosine;5;500;
0.65;0.6015503875968992;cosine;700;100;
0.6083333333333334;0.2754107981220657;cosine;700;10;
0.5612244897959183;0.5878787878787879;cosine;700;250;
0.8;0.62;cosine;700;500;
NaN;NaN;cosine;7500;100;
NaN;NaN;cosine;7500;10;
NaN;NaN;cosine;7500;250;
NaN;NaN;cosine;7500;500;
1.0;0.5833333333333333;squared_euclidean;1000;100;
0.33928571428571425;0.19696969696969696;squared_euclidean;1000;10;
0.8055555555555555;0.3828282828282828;squared_euclidean;1000;250;
0.8571428571428572;0.3015151515151515;squared_euclidean;1000;500;
0.3585129197756931;0.5712495498420603;squared_euclidean;100;100;
0.36201810484597363;0.5038252795073421;squared_euclidean;100;10;
0.37021347488341866;0.6035769846110753;squared_euclidean;100;250;
0.41118646305490986;0.5993684632786052;squared_euclidean;100;500;
0.12098984728928945;0.690559044509787;squared_euclidean;10;100;
0.10217409844625691;0.6939242214909904;squared_euclidean;10;10;
0.09886031007922502;0.6593236583460695;squared_euclidean;10;250;
0.10355315954146373;0.7147848939678786;squared_euclidean;10;500;
0.031953828828828836;1.0;squared_euclidean;1;100;
0.031953828828828836;1.0;squared_euclidean;1;10;
0.031953828828828836;1.0;squared_euclidean;1;250;
0.031953828828828836;1.0;squared_euclidean;1;500;
0.4606652176419619;0.5379526945918343;squared_euclidean;200;100;
0.15342875685710008;0.7185366729336979;squared_euclidean;20;100;
0.14373672789273811;0.669146204117041;squared_euclidean;20;10;
0.18004354057426908;0.7035356162198613;squared_euclidean;20;250;
0.1486958355110469;0.731139924817473;squared_euclidean;20;500;
1.0;0.4;squared_euclidean;2500;100;
1.0;0.3;squared_euclidean;2500;10;
1.0;0.5;squared_euclidean;2500;250;
NaN;NaN;squared_euclidean;2500;500;
0.5610769915442814;0.4289132754365455;squared_euclidean;300;100;
0.3562066988680718;0.3563549224640774;squared_euclidean;300;10;
0.5896511555180286;0.5272622469756857;squared_euclidean;300;250;
0.5056704605033303;0.5395200350710967;squared_euclidean;300;500;
1.0;0.5;squared_euclidean;5000;100;
NaN;NaN;squared_euclidean;5000;10;
NaN;NaN;squared_euclidean;5000;250;
NaN;NaN;squared_euclidean;5000;500;
0.5875;0.6333333333333333;squared_euclidean;500;100;
0.4981859410430839;0.3677001402353515;squared_euclidean;500;10;
0.45500000000000007;0.3226338205104636;squared_euclidean;500;250;
0.5661764705882353;0.4068147388559688;squared_euclidean;500;500;
0.24151280704589528;0.6455084289377492;squared_euclidean;50;100;
0.2142920106639146;0.5395048149550582;squared_euclidean;50;10;
0.27521708311181997;0.6607018905533641;squared_euclidean;50;250;
0.27863168548475564;0.632877973184839;squared_euclidean;50;500;
0.08648814697543512;0.749808576998645;squared_euclidean;5;100;
0.08148506641951832;0.7597882283094353;squared_euclidean;5;10;
0.07681514612305917;0.742754035290288;squared_euclidean;5;250;
0.07836519922683734;0.7478789241747806;squared_euclidean;5;500;
0.8055555555555555;0.5888888888888889;squared_euclidean;700;100;
0.5736842105263158;0.3534981450474408;squared_euclidean;700;10;
0.5984848484848485;0.326306543697848;squared_euclidean;700;250;
0.5349999999999999;0.5084057971014493;squared_euclidean;700;500;
1.0;0.3333333333333333;squared_euclidean;7500;100;
NaN;NaN;squared_euclidean;7500;10;
NaN;NaN;squared_euclidean;7500;250;
NaN;NaN;squared_euclidean;7500;500;
