cid,aid,cnt
0,"[229, 289, 512, 563, 1153, 1168, 2468, 4305, 4310, 4752, 5200, 5979, 6003, 6303, 6684, 6987, 8441, 9068, 10435, 10446, 10447, 11513, 11575, 11807, 13098, 13128, 13129, 13162, 14206, 14331, 14600, 14647, 15003, 15307, 15706, 15741]",36
1,"[319, 1257, 1426, 1809, 2446, 2714, 3517, 3518, 3519, 4559, 5425, 6375, 7243, 7918, 8997, 9028, 9207, 9658, 10290, 11556, 11577, 11669, 12837, 13193, 13205, 14356]",26
2,"[291, 317, 393, 524, 675, 899, 1285, 2536, 2994, 3628, 3642, 4217, 4735, 6696, 7197, 8687, 9369, 10206, 11340, 11727, 11885, 12076, 12595, 13575, 13659, 14492, 15047, 15770]",28
3,"[5299, 5456, 7963, 7978, 8830, 9569, 9756, 11147]",8
4,"[3291, 3773, 7778, 8030, 8094, 8139, 8420, 14474, 15358]",9
5,"[441, 1051, 2543, 10283, 11195, 11237, 11574, 12446, 12553, 12580, 12763, 12967, 13560, 14037, 14233, 15855]",16
6,"[2746, 2747, 3148, 3149, 3150, 4057, 4671, 5359, 5840, 6736, 6737, 14413, 15758]",13
7,"[311, 544, 840, 924, 935, 1183, 1280, 1481, 2416, 3468, 3764, 5286, 5506, 5769, 5830, 6366, 6445, 6685, 7381, 7405, 7426, 7737, 7739, 8002, 8320, 8528, 8723, 8785, 9016, 9315, 9799, 10232, 10325, 10386, 10917, 10958, 11382, 11920, 12416, 12667, 12784, 13053, 13668, 14571, 15159]",45
8,"[651, 4564, 5348, 5980, 6020, 6021, 6027, 6028, 6029, 6030, 6031, 6072, 6086, 6090, 6091, 6092, 6094, 6096, 6097, 6147, 6148, 6149, 6150, 6151, 6154, 6155, 6156, 6157, 6158, 6159, 6160, 6170, 6171, 6172, 6179, 6181, 6183, 6198, 6199, 6236, 6297, 6378, 6383, 6428, 6500, 6530, 6557, 6558, 6559, 15417]",50
9,"[205, 346, 447, 778, 897, 1048, 1410, 1671, 1674, 1675, 1962, 3426, 6753, 6941, 7270, 7773, 8322, 8973, 9072, 9097, 9336, 9670, 9742, 10171, 10186, 10345, 10393, 10901, 10938, 11101, 11167, 11215, 11369, 11790, 12807, 12834, 12946, 13181, 13764]",39
10,"[1070, 1221, 2756, 3252, 6893, 7807, 7871, 8502, 9092, 9780, 10441, 10896, 10981, 11626, 12677, 12854, 13307, 13324, 13558, 13656, 13660, 14056, 14165, 14166, 14725, 14851, 15341]",27
11,"[653, 773, 1118, 1327, 1672, 1827, 1848, 3087, 3322, 3345, 3492, 3924, 3995, 4371, 4373, 4527, 4528, 4531, 4542, 4629, 4714, 4750, 4826, 4838, 5069, 5162, 5250, 5263, 5381, 5676, 5772, 6102, 6240, 6831, 7231, 7401, 7855, 8393, 9197, 9303, 9578, 10004, 11915, 12153, 12328, 12910, 14122, 14690]",48
12,"[961, 1255, 1391, 1557, 2899, 4214, 5341, 7080, 7590, 8599, 9043, 9379, 10396, 11532, 13123, 13164]",16
13,"[151, 860, 1338, 3015, 4947, 4959, 5248, 8533, 14686, 15493]",10
14,"[688, 2261, 2831, 2832, 2833, 2834, 2835, 2836, 2839, 2840, 4650, 6007, 8485, 11214, 13879, 15158]",16
